contract_address,collection_name,name,owner_address
0x967040b0cf4dae55e5a8cdbcb5834447e57a2f04,fundingworks-001-tokenworks,FundingWorks 001: TokenWorks,0x019817ad02a31b990433542097be29d97613e8cb
0x2748fb3542d6bad44b5ea226bdf2742057a1baeb,celestial-souls-3,Celestial Souls,0x982362b3f12a10ac509904ecf94ffdb5549010b9
0xc1f10897aa6e9c829fa1d04ef843c6bb5d2a6880,celestial-souls-2,Celestial Souls,0x982362b3f12a10ac509904ecf94ffdb5549010b9
0x720f0ea5cba76697d998382dedad5f16d5dd7848,phoenix-233,PHOENIX,0xbf67c69c89e745717ec003502d327b042fb2d566
0x9371bffb1307993a85d7c23698756cce70415c7c,genesis-box-11,Genesis Box,0x521080f3f91530615d5d84e310d5fe1751297957
0x2eb732dd0ef035aece991ac99e7ea9745779eca1,after-picasso-1,After Picasso,0xb28077284a81b23bf4709ac326accb8142662cff
0xa3942381ccd9167dc3577d3b3b2d7520f16b7a94,feel-75,Feel,0x3973cdd2de6ad777a4d8d4b15cdc4efa044755b8
0x1d7271be8dd1a4c707c56a5ae56dcdbaa52fb368,somthing-5,Somthing,0x4cb787f28679d50aa3cfe3ff05e8d5d6a300d0ee
0x41fbfa918c96abf6ae3e7835897ced9e9e38080c,im-just-rich,I'M JUST RICH,0xb7be5681c96229470a6b03da9ad534b2b7e37f56
0x4b69b20a911dfb76a0887538ed7f2c94d18c6294,zkbridgecreator721-609,zkBridgeCreator721,0xe93685f3bba03016f02bd1828badd6195988d950
0x816181c041d389f7f911fb8de1d9735503c82fd4,atlas-syndicate,Atlas Syndicate,0xb28077284a81b23bf4709ac326accb8142662cff
0xeebaa9334625337facda33d407f6556122cc53e4,landscape-406,Landscape,0xde908d98b1b61dee8fdfaead39f720c7cc4456a2
0x39376a7b6de2004307957ae217dcf698939fb4c8,landscape-405,Landscape,0xde908d98b1b61dee8fdfaead39f720c7cc4456a2
0xf730fe5f07e681ff00d2d1306adff480b7e0e3b0,the-ones-we-couldn-t-forget-1,The Ones We Couldn't Forget,0xd5e14e8b100df02c638c45e22dec2537c0008eaa
0xb5abf377ffa3d03192fda3e63f3be3d761280a59,zombie-animals-4,Zombie Animals,0x0d2a5f58dbc3f1487447fb1b7a12091d638c58c5
0xf1529976a191ccdb8f3717508bc5514ea8377195,sean-tests,Sean Tests,0xef091313dd66754a5214ed011ce110b61cb4030e
0xd2bcbca4a5567a9e53eb4a6234c733072b676c23,gator4art,GaToR4ArT,0xf5a0f3222258c84092ca6f07d28c1132825fd6fa
0xa05e04cd1407ddd58d66e387b478eba3e5abe7c8,microscopic-subsurface-worlds-textures-of-stone-me,"Microscopic Subsurface Worlds ,Textures of Stone, Metal and Cloth",0x3c9b68c876df590423a7789bb0a64a790617bbf9
