Unnamed: 0,Rank,Collection,art_normalized_collection,contract_address,collection_name,name,owner_address,normalized_name,normalized_collection
0,1,Elite Medal,elitemedal,,,,,,
1,2,The Manifesto of the Gallery of Life,themanifestoofthegalleryoflife,,,,,,
2,3,"Puff A Luck's "" Bronze Bounty """,puffalucksbronzebounty,,,,,,
3,4,Spirits of the Crossing,spiritsofthecrossing,0xc2c8bae79070af6c339a26bea3726ea53462ac44,ossi,Ossi,0x7592cd4ad0b69a3b71f979483d6415128f4842a3,,
4,5,Jackal,jackal,,,,,,
5,6,ZKJ : Polyhedra,zkjpolyhedra,,,,,,
6,7,Cocona - ART WITH ME,coconaartwithme,,,,,,
7,8,bvgs.io,bvgsio,0xdf011f5cff95818ef48501a9b0757831756a1490,bvgs-io-6,bvgs.io,0xb305d06bb2c433143a44e908012f8749fc239418,bvgsio,bvgsio6
7,8,bvgs.io,bvgsio,0xe37dee3e1e3a18982e0f1dc3d83cb92b7f08bc0c,bvgs-io-5,bvgs.io,0xacb954b76a6a2e8ad678f9a6048f36d5355eb528,bvgsio,bvgsio5
8,9,BEEPLE HUNTER BIDEN GTA6 2025,beeplehunterbidengta62025,,,,,,
9,10,Pharaohs of the Blade Realm,pharaohsofthebladerealm,0xb7104495cdf4389ed94af96cb7d8ac8d9db852aa,r-ao,R-AO,0x13226db4c4136a9b11bbd89fe34fe2721c3d1cfd,,
10,11,Film by Me,filmbyme,,,,,,
11,12,Frieren036,frieren036,0xb98a05bceb2b116594703ac7006c9c86cf2092f5,frieren026,Frieren026,0xd3af91b18dc33a0d8b5751f4df26ea4159605d41,,
12,13,Frieren035,frieren035,0xbc9836f1f8f980ee30321ba9340cfe720fc465ee,frieren025,Frieren025,0xd3af91b18dc33a0d8b5751f4df26ea4159605d41,,
13,14,THE LEGENDARY LOOP,thelegendaryloop,,,,,,
14,15,Llama Verde,llamaverde,,,,,,
15,16,Love-Protocol,loveprotocol,,,,,,
16,17,Dream Portraits in Black and White,dreamportraitsinblackandwhite,,,,,,
17,18,"Shirley, Though??",shirleythough,,,,,,
18,19,Eph-1,eph1,,,,,,
19,20,BabyDoge,babydoge,,,,,,
20,21,BabyDoge,babydoge,,,,,,
21,22,Cryer_Art,cryerart,,,,,,
22,23,Babydoge,babydoge,,,,,,
23,24,Babydoge,babydoge,,,,,,
24,25,Loretta Marie,lorettamarie,,,,,,
25,26,woman1,woman1,,,,,,
26,27,Ethinker,ethinker,,,,,,
27,28,Psg first champions,psgfirstchampions,,,,,,
28,29,Loretta Marie,lorettamarie,,,,,,
29,30,Psg first champions,psgfirstchampions,,,,,,
30,31,Lot n°2  d’or 99% – 10 mars 2025 Recyclage mars 2025,lotn2dor9910mars2025recyclagemars2025,,,,,,
31,32,Tech,tech,0x52a4f2b3ab43c90625c19b96ba3c1b60122878ee,street-echoes,Street Echoes,0xe43b6d2f1b0501e22f533d99899d1b87f264a03c,,
32,33,RexX-9000,rexx9000,,,,,,
33,34,Lot n°2  d’or 99% – 10 mars 2025 Recyclage mars 2025,lotn2dor9910mars2025recyclagemars2025,,,,,,
34,35,Popeye,popeye,,,,,,
35,36,Dreams,dreams,0x492b5ef4f2d13929ddcd5bc1a09c3e347c465bb5,dreams-293,Dreams,0xf2dc721205e2703e0ede8891819c26e95d162075,dreams,dreams293
35,36,Dreams,dreams,0xb72d32003d787cedaaf575350b750f0bb3d0c616,dreams-292,Dreams,0x9b759bef1c8fd5756ffd21181cb9fe847d47d6ed,dreams,dreams292
36,37,Cryer_Art,cryerart,,,,,,
37,38,Disintegration,disintegration,,,,,,
38,39,Disintegration,disintegration,,,,,,
39,40,MBD Gold Backed NFT's,mbdgoldbackednfts,,,,,,
40,41,ICE MAN,iceman,,,,,,
41,42,ICE MAN,iceman,,,,,,
42,43,ICE MAN,iceman,,,,,,
43,44,GaToR4ArT,gator4art,0xd2bcbca4a5567a9e53eb4a6234c733072b676c23,gator4art,GaToR4ArT,0xf5a0f3222258c84092ca6f07d28c1132825fd6fa,gator4art,gator4art
44,45,painting,painting,0x3743191776ce102d553920919393425047bd6c00,mr-solo-1,Painting,0x6e85492d0e731f44d6a702aacad80f7e969a8c6e,,
45,46,elienson,elienson,,,,,,
46,47,AnkhVision,ankhvision,,,,,,
47,48,Ethereal Visions,etherealvisions,,,,,,
